8,"How to change an IP address for outgoing emails in Plesk for Linux with Postfix mail server
Applicable to: Plesk for Linux Question
How to change an IP address for outgoing emails in Plesk for Linux with Postfix mail server?
Answer Log in to Plesk. Go to Tools & Settings > Mail Server Settings. Set outgoing mail mode to one of the following options: Send from domain IP addresses Send from domain IP addresses and use domain names in SMTP greeting Send from the specified IP addresses Apply the changes.
Note: The changes will be made in Postfix transport map file /var/spool/postfix/plesk/sdd_transport_maps.db. Command-line instructions Connect to a Plesk server via SSH. Run the command:
# plesk bin site -u example.com -mail-service-ip 203.0.113.2
where example.com - domain name 203.0.113.2 - IP address that will be used for mail of a domain "
0,"Does Plesk have a bounty policy?
Applicable to: Plesk Onyx Question
Does Plesk have a bounty policy?
Answer
Currently Plesk bounty policy is applied on a ""case-by-case"" basis. Please, send a security report to: security@plesk.com."
3,"After creating a customer/domain/subdomain, Plesk shows the error: Add Protected Directory failed: columns siteId, path are not unique
Applicable to: Plesk for Windows Symptoms A domain/subdomain is created without hosting and the following error message is shown in Plesk:
PLESK_ERROR: Error: ProtDir_IIS::update() failed: Add Protected Directory failed: columns siteId, path are not unique at execute console command --add-protected-url(vconsoleapp::start line 122) at execute ""C:\Program Files (x86)\Plesk\admin\bin64\websrvmng.exe"" --add-protected-url ""--vhost-name=example.com"" ""--path=plesk-stat"" ""--realm=Domain statistics""(vconsoleapp::run line 139) (Error code 1) When trying to add a new customer and a protected directory in Plesk, the protected directory cannot be enabled:
PLESK_ERROR: Error message : ProtDir_IIS::update() failed: Add Protected Directory failed: columns siteId, path are not unique (Error code 1)
OR
PLESK_ERROR: Error: ProtDir_IIS::update() failed: Add Protected Directory failed: Filename: Error: Cannot add duplicate collection entry of type 'add' with unique key attribute 'path' set to '/plesk-stat' Migration fails with the following error in the Plesk > Extensions > My Extensions > Plesk Migrator > 203.0.113.2 > Logs > debug.log:
CONFIG_TEXT: - Subscription 'example.com' | `- error: Failed to create subscription 'example.com' in target panel Migration for that subscription is considered completely failed. No further actions are performed for it. Migration tools tried to perform operation in 2 attempts. ---------------------------------------------------------------------------- Attempt #1 failed with the following error: u'Command LANG=en_US.UTF-8 ALLOW_WEAK_PASSWORDS=1 PLESK_RESTORE_MODE=1 ""subscription"" ""--create"" ""example.com"" ""-hosting"" ""true"" ""-hst_type"" ""phys"" ""-login"" ""john.doe"" ""-passwd"" ""password"" ""-ip"" ""203.0.113.2"" ""-mail-service-ip"" ""203.0.113.2"" ""-do-not-apply-skeleton"" ""-notify"" ""false"" failed with exit code 1: stdout: stderr: An error occurred during domain creation: An error occurred during changing of hosting settings: ProtDir_IIS::update() failed: Add Protected Directory failed: columns siteId, path are not unique at execute console command --add-protected-url(vconsoleapp::start line 100) at execute ""C:\\Program Files (x86)\\Parallels\\Plesk\\admin\\bin64\\websrvmng.exe"" --add-protected-url ""--vhost-name=example.com"" ""--path=plesk-stat"" ""--realm=Domain statistics"" The following error can be found in Event Viewer > Applications and Services > Plesk:
CONFIG_TEXT: columns siteId, path are not unique at execute console command --add-protected-url(vconsoleapp::start line 122) at execute ""C:\Program Files (x86)\Plesk\admin\bin64\websrvmng.exe"" --add-protected-url ""--vhost-name=example.com"" ""--path=plesk-stat"" ""--realm=Domain statistics""(vconsoleapp::run line 139) Execute file name: C:\Program Files (x86)\Plesk\admin\bin64\websrvmng.exe Cause
The database of protected directories has not been synchronized properly with Plesk.
Resolution Remove the failed domain via Plesk > Domains > example.com > Remove. Connect to the server via RDP. Synchronize the database of protected directories by executing the following command in cmd.exe:
C:\> ""%plesk_cli%\\repair.exe"" --synchronize-protected-directories-storage Go to Windows Start > All Programs and open Internet Information Service (IIS) Manager: Go to the IIS > Sites tab and remove the example.com website. Go to the IIS > Application Pools tab and remove the application pool of example.com, if it exists. Go to Windows Start > All Programs and open MailEnable: Go to MailEnable > Messaging Manager > Post Offices and remove example.com, if it exists. Create a domain/subdomain in Plesk or rerun the failed domain/subdomain migartion.
Note: If the error message about existing DNS records appears, apply the solution from the following article:
Unable to create a new domain/subdomain or migrate an existing domain/subdomain: DNS record already exists "
7,"Plesk installation or upgrade failed: The following services require a system restart
Applicable to: Plesk 12.5 for Windows
Plesk Onyx for Windows Symptoms
Following warning is shown by Plesk installer during an upgrade:
CONFIG_TEXT: System checking...The following services require a system restart:Component-Based Servicing pending restartWindows Update requires restartRestart the system before continuing installation.
Cause
The operating system has updates that require a reboot to be implemented.
Resolution Connect to the server via RDP. Install all latest Windows updates in Control Panel > System And Security > Windows Updates: Reboot the server.
Run plesk-installer.exe to install/upgrade Plesk.
"
3," How to secure a Plesk hostname on port 8443 with an SSL certificate (Let's Encrypt / other certificate authorities) Applicable to: Plesk for Linux Plesk for Windows Question
How to secure a Plesk hostname on port 8443 with an SSL certificate (Let's Encrypt / other certificate authorities)?
Answer Securing Plesk interface with a free Let's Encrypt certificate (Plesk Onyx and Obsidian) In Plesk, go to Extensions and search for Let's Encrypt. Click on Let's Encrypt and then click Get it free (or Install). Once installed, go to Tools & Settings > SSL/TLS Certificates (under Security). Click Let's Encrypt. Make sure the Domain name and Email address fields contain a valid information: Domain name can be a server hostname (preferable) or any other (sub)domain name hosted on the server. It will be used as an entry point to Plesk over port 8443 (for example, https://server.example.com:8443 ) for all Plesk users (customers, resellers, etc.) who have access to Plesk.
Note: The hostname/domain name must be resolved to a public IP address of the Plesk server from the Internet. If in doubt, check your hostname/domain name availability using DNS Lookup by MxToolBox. If a domain, e.g. example.com, is using permanent www redirection, specify www.example.com as Domain name. Email address will be used to receive important notifications and warnings. Click Install. At this stage, an SSL certificate from Let’s Encrypt is generated and set to secure Plesk on port 8443. This certificate will be auto-renewed every 90 days. Here is the final look: Now, access Plesk over https://server.example.com:8443. Known issues Unable to obtain a Let's Encrypt certificate: Error creating new authz :: Policy forbids issuing for name
Unable to issue Let's Encrypt certificate for securing Plesk page if wildcard subdomain is present on the server Securing Plesk interface with an SSL certificate from other certificate authorities In Plesk, go to Tools & Settings and click SSL/TLS Certificates. On the SSL/TLS Certificates page, add your certificate:
Note: If you are experiencing issues with a certificate installation, contact your certificate seller and ask for instruction for Plesk. If an SSL certificate is stored in a single *.crt file:
Click Browse... to select a certificate file. Then click Upload Certificate. If an SSL certificate is stored in the form of *.key and *.crt files:
Click Add under List of certificates in server pool and scroll down to the Upload the certificate files section and upload these files. If both the certificate and the private key parts of your certificate are contained in a *.pem file (you can check it by opening the *.pem file in any text editor), just upload it twice, both as the private key and the certificate. Click Upload Certificate once finished. If an SSL certificate is stored as a text:
Click Add under List of certificates in server pool and scroll down to the Upload the certificate as text section. There, paste the certificate and the private key parts into the corresponding fields. Click Upload Certificate when you have finished. Click [Change] next to Certificate for securing Plesk > select an uploaded certificate > click OK. Now Plesk interface is secured with an SSL certificate. Additional Information
Plesk Onyx 17.8 secures its hostname with a free Let's Encrypt certificate automatically, if the Let's Encrypt extension is installed and the hostname is a fully qualified domain name (FQDN) and is resolved from the Internet.
Related Articles How to secure a Plesk mail server with an SSL certificate (Let's Encrypt / other certificate authorities)
Is it possible to secure a Plesk IP address with an SSL certificate (Let's Encrypt / other certificate authorities)
Setting up Plesk server certificate via XML API
"
2,"How to retrieve/reset password of Plesk Administrator (admin) user in Plesk for Windows
Applicable to: Plesk for Windows Question
The password for the Plesk ""admin"" user is lost.
How to retrieve or reset it?
Answer
Note: in case logging in for the first time, use Build-in Windows Administrator credentials (the same that used for accessing the server via RDP). For Plesk Obsidian and Plesk Onyx 17.8 Retrieving the password
Starting from Plesk Onyx 17.8, it is not possible to get admin password in Plain text. However, it is possible to generate one time login link to get into Plesk with the following command after logging into the server using RDP:
C:\> plesk login
Resetting the password Connect to a Plesk server using RDP. Start a command prompt as an Administrator and run the command:
C:\> plesk bin admin --set-admin-password -passwd ""your_new_password""
where your_new_password - desired password for Plesk ""admin"" account. For Plesk Onyx 17.5 Retrieving the password Connect to a Plesk server using RDP. Start a command prompt as an Administrator and run the command below. The password will be copied to clipboard.
C:\> ""%plesk_bin%\plesksrvclient"" -get Resetting the password Connect to a Plesk server using RDP. Start a command prompt as an Administrator and run the command:
C:\> plesk bin admin --set-admin-password -passwd ""your_new_password""
where your_new_password - desired password for Plesk ""admin"" account. Note: in case it is not configured otherwise, it is possible to log into Plesk with Administrator username using password for RDP.
Additional information How to retrieve/reset a password of the ""admin"" user in Plesk for Linux? How to retrieve administrator's Plesk database password on Plesk 17.8 for Windows? "
0,"[BUG] Schedule Task is not executed on time: Task Scheduler did not launch task because instance of the same task is already running
Applicable to: Plesk 12.0 for Windows
Plesk 12.5 for Windows Symptoms Scheduled task to run PHP script stops executing after some time. In Windows Task Scheduler this task is shown as Running . On History tab for this task will be shown something like:
CONFIG_TEXT: Task Scheduler did not launch task ""\Plesk Scheduler Task #be23ba78c60597ea7122deea5a27313b"" because instance ""{fb4661d8-4be8-48bc-a5e2-5da81333dcac}"" of the same task is already running. %plesk_bin%\runtask.exe process returns Non-existent process in Process Explorer. Disk usage is not updated in Plesk. Cause
Internal issue with ID #PPPM-3855 . It has been fixed in Plesk 12.5.
Resolution
Consider upgrading to Plesk 12.5 .
Workaround
If upgrade is not possible: Connect to the server via RDP; Backup the file %plesk_bin%\plesksrv.exe; Stop Plesk Management Service (plesksrv) at Control Panel > Administrative Tools > Services; Download the archive from the attachment and unzip it; Copy the patched file plesksrv.exe to %plesk_bin% directory; Start Plesk Management Service (plesksrv). Start Plesk PopPass Service (PopPassD). Restart the scheduled task from Windows Task Scheduler if needed. "
5,"Cannot create Plesk subscription or update hosting settings: f2bmng failed with error UnknownJailException
Applicable to: Plesk Onyx for Linux Symptoms Unable to migrate data to Plesk or create a domain/subscription.
Domain is migrated without hosting, data is not migrated.
Error in /var/log/fail2ban.log:
CONFIG_TEXT: hosting update is failed: f2bmng failed: ERROR:f2bmng:Command ['set', 'plesk-apache-badbot', 'addlogpath', '/var/www/vhosts/system/example.com/logs/error_log'] failed with error UnknownJailException('plesk-apache-badbot',)Step failed 'applyCreateSubscription'. hosting update is failed: f2bmng failed: ERROR:f2bmng:Command ['set', 'plesk-apache-badbot', 'addlogpath', '/var/www/vhosts/system/example.com/logs/error_log'] failed with error UnknownJailException('plesk-apache-badbot',) Cause
Fail2ban rules prevent hosting creation.
Resolution
1. Login to Plesk
2. Find Plesk server IP addresses at Tools & Settings > IP addresses: 3. Add the IP addresses to Tools & Settings > IP Address banning (fail2ban) > Trusted IP Addresses:
"
2,"Unable to rename the domain: A virtual directory with the specified name already exists
Applicable to: Plesk 11.x for Linux
Plesk 11.x for Windows
Plesk 12.0 for Linux
Plesk 12.0 for Windows
Plesk 12.5 for Linux
Plesk 12.5 for Windows Symptoms
Domain renaming in Plesk fails with error:
PLESK_ERROR: Error: Unable to rename the domain: A virtual directory with the specified name already exists.
Cause
The directory chosen as a Docroot for the domain already exists.
Resolution Log into Plesk. Rename/remove the folder with the same name in vhosts directory in Subscriptions > example.com > File Manager:
Alternatively, set another unique name for document root of the new domain. Note: For Linux, the folder may be also located in /var/www/vhosts/system/ directory as it is used to store config and log files of the domains, and it should me renamed as well: Connect to the server via SSH. Rename the needed folder:
# mv /var/www/vhosts/system/rename.example.com/ /var/www/vhosts/system/rename.example.com_renamed/ "
6,"How to manage multiple databases with the same user via phpMyAdmin in Plesk?
Applicable to: Plesk 12.5 for Linux
Plesk 12.5 for Windows
Plesk Onyx for Linux
Plesk Onyx for Windows Question
How to manage multiple databases with a single user via phpMyAdmin or MyLittleAdmin in Plesk?
Answer
Click on a section to expand For phpMyAdmin (MySQL) Note: In phpMyAdmin is not possible to access all databases via Plesk Interface even though the user has permissions to access to all databases. To have access to all databases, it is required to log into phpMyAdmin manually. Log in to Plesk GUI Go to Domains > example.com > Databases > User Management and click Add Database User. Create a user with access to Any database: Configure access to phpMyAdmin without login to Plesk as described in the following article:
How to access phpMyAdmin shipped in Plesk without login to Plesk URL itself? Browse to https://<Plesk-server-host-name-or-IP>:8443/phpmyadmin and access using the user created on step 3: For MyLittleAdmin (MS SQL) Log in to Plesk GUI Go to Domains > example.com > Databases > User Management and click Add Database User. Create a user with access to Any database: Via Domains > example.com > Databases > Add Database create a sample empty_database without a user: Click myLittleAdmin button near the database created on step 4: "
